"design_label","N","assignment_prob","control_mean","control_sd","ate","treatment_mean","treatment_sd","rho","estimand_label","estimator_label","term","bias","se(bias)","rmse","se(rmse)","power","se(power)","coverage","se(coverage)","mean_estimate","se(mean_estimate)","sd_estimate","se(sd_estimate)","mean_se","se(mean_se)","type_s_rate","se(type_s_rate)","mean_estimand","se(mean_estimand)","n_sims"
"design_1","100","0.5","0","1","1","1","1","1","ATE","estimator","Z",0.018103225850519,0.0159254153011802,0.190685406769982,0.0128705468760435,1,0,0.94,0.0197716853158724,1.01810322585052,0.0159254153011802,0.190780421588414,0.0130411733882154,0.199461642735308,0.00150077108190997,0,0,1,0,100
"design_2","110","0.5","0","1","1","1","1","1","ATE","estimator","Z",0.0184067115540725,0.0156843889276356,0.176847416239142,0.0137256279475556,1,0,0.96,0.0195348200760155,1.01840671155407,0.0156843889276356,0.176772985733331,0.0137417122187703,0.190842267767461,0.00133141890749625,0,0,1,0,100
"design_3","120","0.5","0","1","1","1","1","1","ATE","estimator","Z",0.0190390861415598,0.0213704838108398,0.180274184220947,0.010458434562777,1,0,0.94,0.0226441741004094,1.01903908614156,0.0213704838108398,0.180169097607636,0.0102030818834296,0.183816317850884,0.00109302862415816,0,0,1,0,100
"design_4","130","0.5","0","1","1","1","1","1","ATE","estimator","Z",0.00492612484978031,0.0175922161615519,0.168381828129301,0.0139506649941479,1,0,0.98,0.0158295518775384,1.00492612484978,0.0175922161615519,0.169157667586076,0.0141627391106038,0.173809657923446,0.0012151703806619,0,0,1,0,100
"design_5","140","0.5","0","1","1","1","1","1","ATE","estimator","Z",0.0173944529124282,0.0144730369264861,0.164227922144743,0.013575912804215,1,0,0.95,0.0293531803285828,1.01739445291243,0.0144730369264861,0.164126840023249,0.0133849157447025,0.167938973211399,0.000921586385668669,0,0,1,0,100
"design_6","150","0.5","0","1","1","1","1","1","ATE","estimator","Z",-0.000497041228266635,0.0123123219434967,0.16669377545007,0.0128122967511902,1,0,0.97,0.0153315841081203,0.999502958771733,0.0123123219434967,0.167532803131406,0.0128234115896955,0.161971568229216,0.000892127177514892,0,0,1,0,100
"design_7","160","0.5","0","1","1","1","1","1","ATE","estimator","Z",0.00761414814216472,0.0123086358060728,0.156602548281073,0.00994058880788481,1,0,0.96,0.0189251398816556,1.00761414814216,0.0123086358060728,0.157205337240065,0.00994131784374601,0.158165420140093,0.000810872245180483,0,0,1,0,100
"design_8","170","0.5","0","1","1","1","1","1","ATE","estimator","Z",-0.0114909804915084,0.0156835014690395,0.166330402887204,0.0133300016997076,1,0,0.93,0.0251524089931942,0.988509019508492,0.0156835014690395,0.166768939202693,0.0134065657378384,0.152986268464053,0.000576111799726006,0,0,1,0,100
"design_9","180","0.5","0","1","1","1","1","1","ATE","estimator","Z",-0.0130672720459649,0.0122718581431372,0.156753901852566,0.0102860425016871,1,0,0.95,0.0254522315712006,0.986932727954035,0.0122718581431372,0.156995245849915,0.0101086381822739,0.148982089353392,0.000548646758853643,0,0,1,0,100
"design_10","190","0.5","0","1","1","1","1","1","ATE","estimator","Z",4.67571876777428e-05,0.0152402827906371,0.157308839819758,0.0114637218679614,1,0,0.9,0.0359197701142069,1.00004675718768,0.0152402827906372,0.158101325709543,0.0112672446382834,0.144864170408007,0.000613478550895944,0,0,1,0,100
"design_11","200","0.5","0","1","1","1","1","1","ATE","estimator","Z",0.00371525825655077,0.0140220891524472,0.133514759953806,0.00966328034555371,1,0,0.95,0.0213993232248769,1.00371525825655,0.0140220891524472,0.134135420722995,0.00950127124439471,0.14196164997667,0.000822987883931154,0,0,1,0,100
